rank,name,record_type,ecosystem_segment,priority_tier,relationship_stage,strategic_fit,current_hook,likely_ask,best_first_channel,warm_path_needed,first_move,risk_note,website,contact_url,public_email,linkedin_url,x_url,bluesky_url,mastodon_url,instagram_url,threads_url,tiktok_url,youtube_url,podcast_url,newsletter_url,substack_url,github_url,discord_or_community_url,event_url,booking_or_speaker_url,source_urls,data_confidence,verification_status,notes
60,Chelsea Green network,Publisher ecosystem,Publisher ecosystem / sustainability,Tier 2,Research,Sustainability readership.,,Comparable/category advice.,"Comparable/category intelligence, not primary ask",,,,https://www.chelseagreen.com/,https://www.chelseagreen.com/contact-us/,,https://www.linkedin.com/company/chelsea-green-publishing/,https://x.com/chelseagreen,,,,,,,,,,,,,,https://www.chelseagreen.com/,High,Verified public routes listed; re-check before outreach,
61,Berrett-Koehler author community,Publisher ecosystem,Publisher ecosystem,Tier 3,Research,Internal network.,,Author talk.,Through Jeevan/BK editorial context,Yes,,,https://www.bkconnection.com/,https://www.bkconnection.com/contact,,https://www.linkedin.com/company/berrett-koehler-publishers/,https://x.com/BKpub,,,,,,,,,,,,,,https://www.bkconnection.com/,High,Verified public routes listed; re-check before outreach,
62,Patreon,Org,Creator monetization,Tier 3,Research,Creator monetization; 25M+ paid memberships reported.,,Creator trust/value-flow pitch.,Use as category proof; route through creator economy rather than corporate support,,,,https://www.patreon.com/,https://support.patreon.com/,,https://www.linkedin.com/company/patreon/,https://x.com/Patreon,,,,,,https://www.youtube.com/@patreon,,,,,,,,https://www.patreon.com/ | https://www.axios.com/2025/08/05/patreon-10-billion-creator-economy-ai,High,Verified public routes listed; re-check before outreach,
63,Jack Conte,Person,Creator monetization,Tier 3,Research,Creator monetization founder.,,Concept note.,Warm creator-platform route only,Yes,,,https://www.patreon.com/,https://www.patreon.com/,,https://www.linkedin.com/in/jackconte/,https://x.com/jackconte,,,https://www.instagram.com/jackconte/,,,https://www.youtube.com/@jackconte,,,,,,,,https://www.patreon.com/,Medium,Verified public routes listed; re-check before outreach,
64,Substack,Org,Newsletter/audience ownership,Tier 3,Research,Writer audience ownership.,,Essay placement.,"Essay placement/category proof, not corporate cold outreach",,,,https://substack.com/,https://support.substack.com/,,https://www.linkedin.com/company/substack/,https://x.com/SubstackInc,,,,,,,,,,,,,,https://substack.com/,High,Verified public routes listed; re-check before outreach,
65,Beehiiv,Org,Newsletter infrastructure,Tier 3,Research,Newsletter infrastructure.,,Audience ownership angle.,Audience ownership essay route,,,,https://www.beehiiv.com/,https://www.beehiiv.com/contact,,https://www.linkedin.com/company/beehiiv/,https://x.com/beehiiv,,,,,,,,,,,,,,https://www.beehiiv.com/,High,Verified public routes listed; re-check before outreach,
66,Circle,Org,Community platform,Tier 3,Research,Community platform.,,Community-builder framework.,Community-builder framework route,,,,https://circle.so/,https://circle.so/contact,,https://www.linkedin.com/company/circleco/,https://x.com/circleapp,,,,,,,,,,,,,,https://circle.so/,Medium-high,Verified public routes listed; re-check before outreach,
67,Skool,Org,Community platform / learning communities,Tier 3,Research,Paid learning communities.,,Community exchange angle.,"Creator-community operator route; likely through creators, not platform",,,,https://www.skool.com/,https://www.skool.com/,,,https://x.com/skoolcommunities,,,,,,,,,,,,,,https://www.skool.com/,Medium,Verified public routes listed; re-check before outreach,
68,Kajabi,Org,Creator commerce,Tier 3,Research,Creator commerce platform.,,Creator ownership report tie-in.,Creator commerce report bridge,,,,https://kajabi.com/,https://kajabi.com/contact,,https://www.linkedin.com/company/kajabi/,https://x.com/Kajabi,,,,,,,,,,,,,,https://kajabi.com/state-of-creator-commerce-25,High,Verified public routes listed; re-check before outreach,
69,ConvertKit / Kit,Org,Creator email/audience ownership,Tier 3,Research,Creator email/audience ownership.,,Trust-mediated audience essay.,Audience ownership essay route,,,,https://kit.com/,https://kit.com/contact,,https://www.linkedin.com/company/kit/,https://x.com/kit,,,,,,,,,,,,,,https://kit.com/,Medium-high,Verified public routes listed; re-check before outreach,
70,Mighty Networks,Org,Community platform,Tier 3,Research,Community platform.,,Community value-flow concept.,Community value-flow concept,,,,https://www.mightynetworks.com/,https://www.mightynetworks.com/contact,,https://www.linkedin.com/company/mighty-networks/,https://x.com/MightyNetworks,,,,,,,,,,,,,,https://www.mightynetworks.com/,High,Verified public routes listed; re-check before outreach,
71,Farcaster,Protocol/community,Decentralized social,Tier 3,Research,Decentralized social.,,Trust/reputation/exchange post.,Protocol/community essay route,,,,https://www.farcaster.xyz/,https://www.farcaster.xyz/,,,https://x.com/farcaster_xyz,,,,,,,,,,https://github.com/farcasterxyz,,,,https://www.farcaster.xyz/,Medium-high,Verified public routes listed; re-check before outreach,
72,Bluesky / AT Protocol,Protocol/community,Open social web,Tier 3,Research,Portable social identity.,,Portable trust angle.,AT Protocol trust/portability essay route,,,,https://bsky.social/,https://bsky.social/about/contact,,,https://x.com/bsky,,,,,,,,,,https://github.com/bluesky-social,,,,https://bsky.social/ | https://atproto.com/,Medium-high,Verified public routes listed; re-check before outreach,
73,Mastodon / ActivityPub community,Protocol/community,Federated social web,Tier 3,Research,Federated social web.,,Federated exchange analogy.,"Fediverse/community route; decentralized, no single gate",,,,https://joinmastodon.org/,https://joinmastodon.org/contact,,,,,,,,,,,,,https://github.com/mastodon/mastodon,,,,https://joinmastodon.org/ | https://activitypub.rocks/,Medium-high,Verified public routes listed; re-check before outreach,
74,Protocol Labs,Org,Decentralized web / public goods,Tier 3,Research,Public goods/decentralized web.,,Funding and coordination angle.,Public goods/decentralized web route,,,,https://protocol.ai/,https://protocol.ai/contact/,,https://www.linkedin.com/company/protocol-labs/,https://x.com/protocollabs,,,,,,,,,,https://github.com/protocol,,,,https://protocol.ai/,High,Verified public routes listed; re-check before outreach,
75,Filecoin public goods programs,Org,Public goods / decentralized storage,Tier 3,Research,Public goods funding experiments.,,Mechanism design bridge.,Mechanism design/public goods bridge,,,,https://fil.org/,https://fil.org/,,,https://x.com/FilFoundation,,,,,,,,,,https://github.com/filecoin-project,,,,https://fil.org/,Medium,Verified public routes listed; re-check before outreach,
76,Octant,Org,Public goods funding,Tier 3,Research,Epoch-based public goods funding.,,Public goods value-flow.,Public goods funding experiment bridge,,,,https://octant.app/,https://octant.app/,,,https://x.com/octantapp,,,,,,,,,,,,,,https://octant.app/,Medium,Verified public routes listed; re-check before outreach,
77,Hypercerts,Org/project,Impact certificates / public goods,Tier 3,Research,On-chain impact certificates.,,Claims/redeemability discussion.,Claims/redeemability discussion,,,,https://www.hypercerts.org/,https://www.hypercerts.org/,,,https://x.com/hypercerts,,,,,,,,,,https://github.com/hypercerts-org,,,,https://www.hypercerts.org/,Medium,Verified public routes listed; re-check before outreach,
78,Ethereum Attestation Service,Org/project,Attestation / reputation primitives,Tier 3,Research,Attestation primitive.,,Reputation and obligation layer.,Reputation/obligation layer concept note,,,,https://attest.org/,https://attest.org/,,,https://x.com/eas_eth,,,,,,,,,,https://github.com/ethereum-attestation-service,,,,https://attest.org/,Medium,Verified public routes listed; re-check before outreach,
79,Holochain,Org/community,Agent-centric distributed apps,Tier 3,Research,Agent-centric distributed apps.,,Mutual credit / non-token systems.,Mutual-credit / non-token systems route,,,,https://www.holochain.org/,https://www.holochain.org/contact/,,https://www.linkedin.com/company/holochain/,https://x.com/holochain,,,,,,,,,,https://github.com/holochain,,,,https://www.holochain.org/,High,Verified public routes listed; re-check before outreach,
80,Encointer,Org,Community currencies / identity,Tier 3,Research,Community currencies and identity.,,Community currency bridge.,Community currency + identity bridge,,,,https://encointer.org/,https://encointer.org/contact/,,,https://x.com/encointer,,,,,,,,,,https://github.com/encointer,,,,https://encointer.org/,High,Verified public routes listed; re-check before outreach,
81,Solarpunk Magazine,Media,Solarpunk media,Tier 3,Research,Solarpunk culture.,,Essay placement.,Essay placement,,,,https://solarpunkmagazine.com/,https://solarpunkmagazine.com/contact/,,,https://x.com/solarpunklitmag,,,https://www.instagram.com/solarpunkmagazine/,,,,,,,,,,,https://solarpunkmagazine.com/,Medium-high,Verified public routes listed; re-check before outreach,
82,Andrewism,Creator,Solarpunk / mutual aid creator,Tier 3,Research,Solarpunk/mutual aid.,,Video/podcast topic.,Video/podcast topic after solarpunk exchange angle is polished,,,,https://andrewism.net/,https://andrewism.net/,,,,,,,,,https://www.youtube.com/@Andrewism,,,,,,,,https://andrewism.net/,Medium,Verified public routes listed; re-check before outreach,
83,Srsly Wrong,Podcast,Utopian systems / podcast,Tier 3,Research,Library socialism/utopian systems audience.,,Interview.,Podcast pitch,,,,https://srslywrong.com/,https://srslywrong.com/contact/,,,https://x.com/SrslyWrong,,,,,,,https://srslywrong.com/,,,,,,,https://srslywrong.com/,Medium-high,Verified public routes listed; re-check before outreach,
84,Better Offline / Ed Zitron,Podcast/person,Tech platform critique,Tier 3,Research,Tech platform critique.,,Platform extraction and money.,Platform extraction essay route,,,,https://www.betteroffline.com/,https://www.betteroffline.com/,,,https://x.com/edzitron,,,,,,,https://www.betteroffline.com/,https://www.wheresyoured.at/,,,,,,https://www.betteroffline.com/ | https://www.wheresyoured.at/,Medium,Verified public routes listed; re-check before outreach,
85,Platformer / Casey Newton,Newsletter/person,Tech platforms / creators,Tier 3,Research,Tech/platform power.,,Creator-platform trust angle.,Creator-platform trust essay route,,,,https://www.platformer.news/,https://www.platformer.news/,,,https://x.com/CaseyNewton,,,,,,,,https://www.platformer.news/,https://www.platformer.news/,,,,,https://www.platformer.news/,Medium,Verified public routes listed; re-check before outreach,
86,Taylor Lorenz,Person,Internet culture / creators,Tier 3,Research,Internet culture / creators.,,Creator ownership angle.,Creator ownership / internet culture pitch,,,,https://www.usermag.co/,https://www.usermag.co/,,,https://x.com/TaylorLorenz,,,https://www.instagram.com/taylorlorenz/,,,,,https://www.usermag.co/,,,,,,https://www.usermag.co/,Medium,Verified public routes listed; re-check before outreach,
87,The Information Creator Economy,Media,Creator economy media,Tier 3,Research,Creator economy business audience.,,Category pitch.,Category/media pitch,,,,https://www.theinformation.com/,https://www.theinformation.com/contact,,https://www.linkedin.com/company/the-information/,https://x.com/theinformation,,,,,,,,https://www.theinformation.com/newsletters,,,,,,https://www.theinformation.com/,High,Verified public routes listed; re-check before outreach,
88,Creator Economy Expo,Event,Creator economy event,Tier 3,Research,Creator operators.,,Talk/session.,Talk/session proposal,,,,https://creatoreconomyexpo.com/,https://creatoreconomyexpo.com/contact/,,,,,,,,,,,,,,,https://creatoreconomyexpo.com/,,https://creatoreconomyexpo.com/,Medium-high,Verified public routes listed; re-check before outreach,
89,VidSummit,Event,Creator economy event,Tier 3,Research,Creator economy conference.,,Creator ownership panel.,Panel/session route only with creator-specific pitch,,,,https://vidsummit.com/,https://vidsummit.com/contact/,,,,,,,,,,,,,,,https://vidsummit.com/,,https://vidsummit.com/,Medium-high,Verified public routes listed; re-check before outreach,
90,On Air Fest / Patreon creator events,Event,Creator events,Tier 3,Research,Creator community.,,Creator trust angle.,Creator trust/value-flow event idea,,,,https://www.onairfest.com/,https://www.onairfest.com/contact,,,,,,,,,,,,,,,https://www.onairfest.com/,,https://www.onairfest.com/ | https://www.patreon.com/,Medium,Verified public routes listed; re-check before outreach,
91,Internet Archive / Brewster Kahle,Org/person,Open knowledge / preservation,Tier 3,Research,Open knowledge and preservation.,,Commons and exchange conversation.,Open knowledge / commons conversation,,,,https://archive.org/,https://archive.org/about/contact.php,,https://www.linkedin.com/company/internet-archive/,https://x.com/internetarchive,,,,,,,,,,,,,,https://archive.org/about/,High,Verified public routes listed; re-check before outreach,
92,EFF,Org,Digital rights,Tier 3,Research,Digital rights.,,Platform dependency and trust.,Platform dependency and trust essay route,,,,https://www.eff.org/,https://www.eff.org/about/contact,,https://www.linkedin.com/company/electronic-frontier-foundation/,https://x.com/EFF,,,,,,,,,,,,,,https://www.eff.org/,High,Verified public routes listed; re-check before outreach,
93,Mozilla Foundation,Org,Internet health / public interest tech,Tier 3,Research,Internet health/public interest tech.,,Trust infrastructure.,Trust infrastructure/public-interest tech route,,,,https://foundation.mozilla.org/,https://foundation.mozilla.org/contact/,,https://www.linkedin.com/company/mozilla-foundation/,https://x.com/mozilla,,,,,,,,,,,,,,https://foundation.mozilla.org/,High,Verified public routes listed; re-check before outreach,
94,New_ Public,Org,Healthy digital publics,Tier 3,Research,Healthy digital publics.,,Community governance.,Community governance route,,,,https://newpublic.org/,https://newpublic.org/contact,,https://www.linkedin.com/company/new-public/,https://x.com/newpublic,,,,,,,,,,,,,,https://newpublic.org/,Medium-high,Verified public routes listed; re-check before outreach,
95,Civic Hall,Org,Civic tech,Tier 3,Research,Civic tech.,,Community coordination.,Civic tech/community coordination route,,,,https://civichall.org/,https://civichall.org/contact/,,https://www.linkedin.com/company/civichall/,https://x.com/CivicHall,,,,,,,,,,,,,,https://civichall.org/,High,Verified public routes listed; re-check before outreach,
96,RadicalxChange,Org,Mechanism design / plurality,Tier 3,Research,Mechanism design and plurality.,,Trust-mediated exchange.,Trust-mediated exchange / mechanism design essay route,,,,https://www.radicalxchange.org/,https://www.radicalxchange.org/contact/,,https://www.linkedin.com/company/radicalxchange/,https://x.com/radxchange,,,,,,,,,,,,,,https://www.radicalxchange.org/,High,Verified public routes listed; re-check before outreach,
97,Metagov,Org,Online governance research,Tier 3,Research,Online governance research.,,Governance layer.,Governance research route,,,,https://metagov.org/,https://metagov.org/contact/,,,https://x.com/metagov_project,,,,,,,,,,https://github.com/metagov,,,,https://metagov.org/,High,Verified public routes listed; re-check before outreach,
98,DAOstar,Org,DAO standards,Tier 3,Research,DAO standards.,,DAO refugees / governance.,DAO standards/governance route,,,,https://daostar.org/,https://daostar.org/,,,https://x.com/DAOstar_One,,,,,,,,,,https://github.com/metagov/daostar,,,,https://daostar.org/,Medium,Verified public routes listed; re-check before outreach,
99,Black Socialists in America / Dual Power App orbit,Org/community,Mutual aid / dual power,Tier 3,Research,Mutual aid and cooperative systems.,,Local exchange as dual power.,Only after careful ideological/context fit; mutual aid and local exchange frame,,,Sensitive political context; avoid extractive outreach,https://blacksocialists.us/,https://blacksocialists.us/contact,,,https://x.com/BlackSocialists,,,,,,,,,,,,,,https://blacksocialists.us/,Medium,Verified public routes listed; re-check before outreach,
100,Bioregional learning centers,Network,Bioregionalism / local resilience,Tier 3,Research,Local resilience and regional economies.,,Regional exchange capacity.,Map specific bioregional conveners before outreach,,Create a regional exchange-capacity memo,,https://capitalinstitute.org/bioregional-financing-facilities/,https://capitalinstitute.org/contact/,,,,,,,,,,,,,,,,,https://capitalinstitute.org/bioregional-financing-facilities/,"Low-medium; this is a network category, not one contact",Verified public routes listed; re-check before outreach,
,Berrett-Koehler team,Person/Organization,Publishers,Tier 1,Research,Potential publisher and internal champion network,Positive change and systems-change fit,Ask for acquisitions review,Research needed before outreach,,Map BK-facing category strategy,Need clear shelf language,,,,,,,,,,,,,,,,,,,,Low,Research needed,Pair Regenerative Coordination Economy with established shelves
,Catherine Austin Fitts,Person/Organization,Financial sovereignty,Tier 2,Research,"Founder of Solari; audience around financial markets, sovereignty, and institutional trust",CBDC/debanking/trust frame,Ask for interview or review only after fit check,Official contact page,,Prepare sober sovereignty framing,Polarization risk,https://solari.com/,https://solari.com/contact/,,,,,,,,,https://solari.com/money-markets/,,https://solari.com/,,,,,,https://solari.com/about-us/ | https://solari.com/money-markets/,Medium,Verified public routes listed; re-check before outreach,Avoid ideological framing | Ideological tone requires sober framing
,Cory Doctorow,Person/Organization,Cultural Translators,Tier 1,Research,Anti-extraction platform critique,Money systems enshittify too,Ask for link/review if essay is excellent,Research needed before outreach,,Prepare Pluralistic-style hook,High bar for relevance,,,,,,,,,,,,,,,,,,,,Low,Research needed,Needs a sharp essay
,IRTA leadership,Person/Organization,Review Circle,Tier 1,Research,Reciprocal trade practitioner legitimacy,Chapter 21 exchange and claims,Ask for Chapter 21 circulation/review,Research needed before outreach,,Prepare practitioner brief,Industry-specific language matters,,,,,,,,,,,,,,,,,,,,Low,Research needed,Direct implementation audience
,Jay Clouse,Person/Organization,Cultural Translators,Tier 2,Research,Creator operators and trust/income,Community businesses need exchange,Ask for newsletter/podcast angle,Research needed before outreach,,Prepare Creator Science pitch,Needs practical creator value,,,,,,,,,,,,,,,,,,,,Low,Research needed,Strong practical bridge
,Jeevan Sivasubramaniam,Person/Organization,Publishers,Tier 1,Research,Publisher pathway and category confidence,Publisher needs evidence that the book can travel,Ask for feedback on category positioning,Research needed before outreach,,Prepare conservative category brief before direct outreach,Do not overstate new category as established,,,,,,,,,,,,,,,,,,,,Low,Research needed,"Lead with publisher confidence, not movement hype"
,Kurzgesagt,Person/Organization,Universe Tier / visual education,Tier 2,Research,Visual civilization explainer,Money as trust system,Pitch only after category is mature,Visual explainer outline first,Yes,Create visual explainer outline,Very high bar,https://kurzgesagt.org/,https://kurzgesagt.org/contact/,,https://www.linkedin.com/company/kurzgesagt/,https://x.com/Kurz_Gesagt,,,https://www.instagram.com/kurz_gesagt/,,,https://www.youtube.com/@kurzgesagt,,,,,,,,https://kurzgesagt.org/,High,Verified public routes listed; re-check before outreach,Moonshot
,Lex Fridman,Person/Organization,Universe Tier / AI civilization,Tier 1,Research,AI/civilization long-form audience,Money trust AI and civilization,Ask for interview only through warm path,Warm long-form route only,Yes,"Develop civilization-scale thesis: money, trust, AI, and coordination",Too broad without strong narrative,https://lexfridman.com/,https://lexfridman.com/contact/,,https://www.linkedin.com/in/lexfridman/,https://x.com/lexfridman,,,https://www.instagram.com/lexfridman/,,,https://www.youtube.com/@lexfridman,https://lexfridman.com/podcast/,,,,,,,https://lexfridman.com/,High,Verified public routes listed; re-check before outreach,Moonshot
,Marques Brownlee / MKBHD,Person/Organization,Universe Tier / tech trust,Tier 2,Research,Mainstream tech trust,Trust as technology layer,Ask for no action until stronger hook,Warm tech-media route; no outreach until trust-as-technology hook is sharp,Yes,Find tech-specific entry point,May be too consumer-tech focused,https://mkbhd.com/,https://mkbhd.com/,,https://www.linkedin.com/company/mkbhd/,https://x.com/MKBHD,,,https://www.instagram.com/mkbhd/,https://www.threads.net/@mkbhd,,https://www.youtube.com/@mkbhd,,,,,,,,https://www.axios.com/2026/04/10/marques-brownlee-consumer-tech-reviews,Medium,Verified public routes listed; re-check before outreach,Moonshot
,Paris Marx,Person/Organization,Cultural Translators,Tier 2,Research,Tech critique and governance-first audience,Technology alone cannot solve exchange,Ask for interview or guest pitch,Research needed before outreach,,Prepare Tech Won't Save Us pitch,Ideological framing risk,,,,,,,,,,,,,,,,,,,,Low,Research needed,Chapter 21 stewardship frame fits
,Peter LaRochelle,Person/Organization,Schumacher,Tier 1,Research,Schumacher continuity and educational integration,Local currency and new economics overlap,Ask for conversation about continuity,Research needed before outreach,,Prepare relationship brief,Do not rush,,,,,,,,,,,,,,,,,,,,Low,Research needed,Position as honoring Greco's work
,Susan Witt,Person/Organization,Schumacher,Tier 1,Research,Schumacher continuity and local currency lineage,Greco as living lineage,Ask for guidance rather than endorsement,Research needed before outreach,,Prepare continuity-first note,Relationship-first; avoid extractive ask,,,,,,,,,,,,,,,,,,,,Low,Research needed,Stewardship over promotion
,MrBeast / Jimmy Donaldson,Person/Organization,Universe Tier / creator scale,Universe,Research,,,Do not ask until the right artifact exists,Do not cold pitch; route through creator-economy collaborators only,Yes,"Use as universe-tier category imagination, not first-wave outreach",,https://www.mrbeast.com/,https://www.mrbeast.com/pages/contact,,https://www.linkedin.com/company/mrbeast/,https://x.com/MrBeast,,,https://www.instagram.com/mrbeast/,,https://www.tiktok.com/@mrbeast,https://www.youtube.com/@MrBeast,,,,,,,,https://www.guinnessworldrecords.com/world-records/most-subscribers-on-youtube,Medium,Verified public routes listed; re-check before outreach,
